Date : 2026-03-02 15:58:32
Directory : /Users/remidesbordes/Documents/Teams/TeamsClient_/src
Total : 72 files,  2271 codes, 357 comments, 645 blanks, all 3273 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         72 |      2,271 |        357 |        645 |      3,273 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |         72 |      2,271 |        357 |        645 |      3,273 |
| . (Files)                                                                                       |          3 |         96 |         17 |         26 |        139 |
| Core                                                                                            |          8 |        226 |        129 |         79 |        434 |
| Database                                                                                        |          2 |         51 |          0 |         12 |         63 |
| Models                                                                                          |          2 |         71 |         10 |         11 |         92 |
| Repositories                                                                                    |          2 |        152 |          0 |         35 |        187 |
| Services                                                                                        |         27 |        903 |         60 |        239 |      1,202 |
| Services (Files)                                                                                |          4 |         82 |          7 |         21 |        110 |
| Services/Auth                                                                                   |          4 |        173 |         15 |         47 |        235 |
| Services/Interfaces                                                                             |          4 |         93 |         18 |         26 |        137 |
| Services/Network                                                                                |          2 |         87 |          0 |         23 |        110 |
| Services/P2P                                                                                    |         13 |        468 |         20 |        122 |        610 |
| Utils                                                                                           |          5 |        162 |         52 |         51 |        265 |
| Utils (Files)                                                                                   |          4 |        148 |         52 |         48 |        248 |
| Utils/Interfaces                                                                                |          1 |         14 |          0 |          3 |         17 |
| ViewModels                                                                                      |          5 |        122 |         20 |         34 |        176 |
| Views                                                                                           |         18 |        488 |         69 |        158 |        715 |
| Views (Files)                                                                                   |          2 |         90 |         10 |         25 |        125 |
| Views/Auth                                                                                      |          6 |        129 |         22 |         40 |        191 |
| Views/Loading                                                                                   |          2 |         32 |          0 |         12 |         44 |
| Views/Visio                                                                                     |          6 |        196 |         12 |         56 |        264 |
| Views/Visio (Files)                                                                             |          2 |         78 |          4 |         24 |        106 |
| Views/Visio/Local                                                                               |          2 |         77 |          6 |         22 |        105 |
| Views/Visio/Remote                                                                              |          2 |         41 |          2 |         10 |         53 |
| Views/Workspace                                                                                 |          2 |         41 |         25 |         25 |         91 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                        | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Core/Application.cpp                      | C++      |         70 |         94 |         35 |        199 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Core/Application.h                        | C++      |         33 |         11 |         14 |         58 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Core/ServiceLocator.cpp                   | C++      |          7 |          0 |          2 |          9 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Core/ServiceLocator.h                     | C++      |         34 |          8 |          8 |         50 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Core/ViewLocator.cpp                      | C++      |          7 |          0 |          2 |          9 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Core/ViewLocator.h                        | C++      |         34 |          8 |          8 |         50 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Core/ViewModelsLocator.cpp                | C++      |          7 |          0 |          2 |          9 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Core/ViewModelsLocator.h                  | C++      |         34 |          8 |          8 |         50 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Database/DatabaseManager.cpp              | C++      |         39 |          0 |          6 |         45 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Database/DatabaseManager.h                | C++      |         12 |          0 |          6 |         18 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Models/User.cpp                           | C++      |         26 |          0 |          3 |         29 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Models/User.h                             | C++      |         45 |         10 |          8 |         63 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Repositories/UserRepository.cpp           | C++      |        128 |          0 |         28 |        156 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Repositories/UserRepository.h             | C++      |         24 |          0 |          7 |         31 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Auth/AuthNetworkService.cpp      | C++      |         63 |          1 |         19 |         83 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Auth/AuthNetworkService.h        | C++      |         21 |          8 |          7 |         36 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Auth/AuthService.cpp             | C++      |         56 |          0 |         12 |         68 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Auth/AuthService.h               | C++      |         33 |          6 |          9 |         48 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Interfaces/IAuthNetworkService.h | C++      |         28 |         10 |         10 |         48 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Interfaces/IAuthService.h        | C++      |         24 |          8 |          6 |         38 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Interfaces/ISessionService.h     | C++      |         21 |          0 |          5 |         26 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Interfaces/IUserService.h        | C++      |         20 |          0 |          5 |         25 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Network/NetworkService.cpp       | C++      |         66 |          0 |         15 |         81 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/Network/NetworkService.h         | C++      |         21 |          0 |          8 |         29 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/P2P/LocalVideoSource.h           | C++      |         24 |          2 |          6 |         32 |
| /Users/remidesbordes/Documents/Teams/TeamsClient_/src/Services/P2P/PConnectionController.cpp    | C++      |         84 |          2 |         15 |        101 |
